mysql> 
SELECT value,total 
FROM totals 
WHERE variable="video" 
GROUP BY value 
HAVING total>2 
ORDER BY total DESC;
+-------------------------------+--------+
| value                         | total  |
+-------------------------------+--------+
| no javascript                 | 520986 |
| 1280x800x24                   | 129340 |
| 1280x1024x24                  | 106637 |
| 1680x1050x24                  | 103101 |
| 1280x1024x32                  | 102799 |
| 1440x900x24                   |  95419 |
| 1680x1050x32                  |  79814 |
| 1280x800x32                   |  79622 |
| 1920x1200x24                  |  70207 |
| 1024x768x32                   |  60843 |
| 1920x1080x24                  |  53894 |
| 1024x768x24                   |  52024 |
| 1440x900x32                   |  48701 |
| 1366x768x24                   |  37710 |
| 1920x1200x32                  |  35697 |
| 1920x1080x32                  |  35025 |
| 1366x768x32                   |  30690 |
| 1600x1200x24                  |  16674 |
| 1024x600x24                   |  14084 |
| 1600x900x24                   |  13542 |
| 1600x900x32                   |  12670 |
| 1600x1200x32                  |  12586 |
| 1024x600x32                   |   9243 |
| 1400x1050x24                  |   8421 |
| 1152x864x32                   |   8061 |
| 320x396x32                    |   7943 |
| 1024x768x16                   |   7243 |
| 320x480x32                    |   6658 |
| 1280x768x32                   |   6390 |
| 1400x1050x32                  |   6380 |
| 1152x864x24                   |   5867 |
| 2560x1440x24                  |   5577 |
| 768x1024x32                   |   5511 |
| 2560x1600x24                  |   4874 |
| 1280x1024x16                  |   4725 |
| 1280x960x32                   |   4239 |
| 1360x768x24                   |   3845 |
| 1280x720x32                   |   3749 |
| 1280x768x24                   |   3642 |
| 1280x960x24                   |   3583 |
| 1360x768x32                   |   3314 |
| 800x600x32                    |   3149 |
| 1280x720x24                   |   2720 |
| 800x600x24                    |   2316 |
| 1280x800x16                   |   2203 |
| 2048x1152x24                  |   1904 |
| 1680x1050x16                  |   1717 |
| 2560x1024x24                  |   1540 |
| 2560x1600x32                  |   1499 |
| 1440x900x16                   |   1340 |
| 1920x1200x16                  |   1271 |
| 1024x1280x32                  |   1242 |
| 1344x840x32                   |   1158 |
| 1280x854x24                   |   1154 |
| 2048x1152x32                  |   1130 |
| 1000x600x24                   |   1110 |
| 1024x819x32                   |   1099 |
| 1152x720x32                   |    980 |
| 1400x1050x16                  |    880 |
| 1300x600x24                   |    862 |
| 800x480x16                    |    861 |
| 320x480x16                    |    857 |
| 1536x864x32                   |    830 |
| 1300x850x24                   |    827 |
| 1536x960x32                   |    810 |
| 1000x550x24                   |    800 |
| 1600x1200x16                  |    784 |
| 3360x1050x24                  |    765 |
| 1350x600x24                   |    759 |
| 1024x576x24                   |    695 |
| 1024x640x32                   |    668 |
| 1024x1280x24                  |    653 |
| 1024x576x32                   |    630 |
| 1680x945x24                   |    621 |
| 800x600x16                    |    621 |
| 800x1130x32                   |    614 |
| 3200x1200x24                  |    559 |
| 1229x983x32                   |    558 |
| 3840x1200x24                  |    555 |
| 1000x800x24                   |    547 |
| 1680x945x32                   |    543 |
| 1000x500x24                   |    540 |
| 800x1183x32                   |    540 |
| 480x854x32                    |    522 |
| 1152x720x24                   |    516 |
| 1300x650x24                   |    513 |
| 480x800x32                    |    505 |
| 2960x1050x24                  |    501 |
| 1120x700x32                   |    484 |
| 1920x1080x16                  |    483 |
| 1900x900x24                   |    478 |
| 1344x840x24                   |    460 |
| 1050x1680x32                  |    456 |
| 1350x650x24                   |    452 |
| 1152x864x16                   |    447 |
| 1200x1920x24                  |    438 |
| 1120x700x24                   |    435 |
| 1200x1600x24                  |    432 |
| 1200x1600x32                  |    419 |
| 800x480x24                    |    418 |
| 1024x600x16                   |    411 |
| 1093x614x32                   |    408 |
| 1700x850x24                   |    408 |
| 3840x1080x24                  |    390 |
| 480x320x16                    |    389 |
| 1600x1024x24                  |    380 |
| 0x0x32                        |    376 |
| 1450x700x24                   |    369 |
| permission denied             |    367 |
| 1600x1000x24                  |    365 |
| 1050x1680x24                  |    363 |
| 1450x750x24                   |    357 |
| 1000x650x24                   |    356 |
| 854x480x32                    |    347 |
| 320x240x16                    |    341 |
| 1300x800x24                   |    333 |
| 2560x1024x32                  |    328 |
| 1300x550x24                   |    318 |
| 1900x1000x24                  |    313 |
| 1200x1920x32                  |    302 |
| 1600x1024x32                  |    301 |
| 240x320x16                    |    294 |
| 960x600x32                    |    292 |
| 1000x700x24                   |    283 |
| 1440x960x24                   |    283 |
| 2560x1440x32                  |    274 |
| 1350x550x24                   |    266 |
| 800x480x32                    |    260 |
| 1568x980x24                   |    258 |
| 1536x864x24                   |    257 |
| 819x614x32                    |    256 |
| 1300x900x24                   |    252 |
| 1366x768x16                   |    247 |
| 1372x858x24                   |    247 |
| 3200x1080x24                  |    247 |
| 1613x1008x32                  |    238 |
| 1900x950x24                   |    235 |
| 1280x768x16                   |    230 |
| 1229x768x32                   |    229 |
| 1045x836x24                   |    228 |
| 1280x960x16                   |    227 |
| 1170x936x32                   |    226 |
| 1x1x1                         |    225 |
| 640x360x16                    |    218 |
| 1000x450x24                   |    216 |
| 800x358x32                    |    209 |
| 1000x400x24                   |    208 |
| 1300x700x24                   |    207 |
| 480x800x16                    |    205 |
| 1024x640x24                   |    204 |
| 480x360x16                    |    200 |
| 800x1280x32                   |    197 |
| 1350x1080x32                  |    186 |
| 1450x800x24                   |    184 |
| 1900x850x24                   |    181 |
| 933x700x24                    |    180 |
| 1311x737x32                   |    178 |
| 800x390x32                    |    178 |
| 800x1220x32                   |    177 |
| 2880x900x24                   |    175 |
| 360x640x16                    |    174 |
| 1024x614x32                   |    168 |
| 1045x653x24                   |    167 |
| 1382x864x32                   |    166 |
| 800x400x24                    |    166 |
| 1093x614x24                   |    165 |
| 1700x900x24                   |    160 |
| 1080x810x32                   |    159 |
| 2560x1024x16                  |    156 |
| 983x737x32                    |    156 |
| 1176x735x24                   |    154 |
| 1250x800x24                   |    154 |
| 1600x700x24                   |    154 |
| 960x600x24                    |    153 |
| 2720x1024x24                  |    152 |
| 800x442x32                    |    150 |
| 1466x916x32                   |    149 |
| 1117x894x32                   |    147 |
| 1568x882x24                   |    146 |
| 3120x1050x24                  |    142 |
| 1067x600x32                   |    139 |
| 1165x641x32                   |    139 |
| 1843x1152x32                  |    134 |
| 1152x870x24                   |    132 |
| 1400x950x24                   |    132 |
| 853x683x32                    |    131 |
| 1150x650x24                   |    129 |
| 1170x731x32                   |    129 |
| 3600x1080x24                  |    125 |
| 1080x1920x24                  |    124 |
| 1350x700x24                   |    122 |
| 1536x960x24                   |    122 |
| 3520x1200x24                  |    121 |
| 1120x630x24                   |    120 |
| 800x1200x32                   |    119 |
| 1000x600x32                   |    118 |
| 3600x1200x24                  |    118 |
| 1000x750x24                   |    117 |
| 800x335x32                    |    117 |
